2025-06-27T01:18:22.447Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:27.478Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:32.495Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:37.520Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:42.547Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:47.572Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:52.599Z - Temperature: 28, Humidity: 59
2025-06-27T01:18:57.627Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:02.648Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:07.687Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:12.703Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:17.754Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:22.756Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:27.782Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:32.815Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:37.833Z - Temperature: 28, Humidity: 60
2025-06-27T01:19:42.887Z - Temperature: 28, Humidity: 59
